"covariate","scale","source_path","output_path","method","status","error_msg"
"Canopy Height","10m","D:/FIA_NEFIN/data/covariates/fine_10m/canopy_height_10m_2020_NE.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/canopy_height_10m_2020_NE.tif","skipped","skipped_exists",""
"NDVI (Sentinel-2)","10m","D:/FIA_NEFIN/data/covariates/fine_10m/S2_NDVI_10m_2020_2024.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/S2_NDVI_10m_2020_2024.tif","skipped","skipped_exists",""
"EVI (Sentinel-2)","10m","D:/FIA_NEFIN/data/covariates/fine_10m/S2_EVI_10m_2020_2024.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/S2_EVI_10m_2020_2024.tif","skipped","skipped_exists",""
"NBR (Sentinel-2)","10m","D:/FIA_NEFIN/data/covariates/fine_10m/S2_NBR_10m_2020_2024.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/S2_NBR_10m_2020_2024.tif","skipped","skipped_exists",""
"NDWI (Sentinel-2)","10m","D:/FIA_NEFIN/data/covariates/fine_10m/S2_NDWI_10m_2020_2024.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/S2_NDWI_10m_2020_2024.tif","skipped","skipped_exists",""
"Red Band (Sentinel-2)","10m","D:/FIA_NEFIN/data/covariates/fine_10m/S2_B4_10m_2020_2024.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/S2_B4_10m_2020_2024.tif","skipped","skipped_exists",""
"Green Band (Sentinel-2)","10m","D:/FIA_NEFIN/data/covariates/fine_10m/S2_B3_10m_2020_2024.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/S2_B3_10m_2020_2024.tif","skipped","skipped_exists",""
"Blue Band (Sentinel-2)","10m","D:/FIA_NEFIN/data/covariates/fine_10m/S2_B2_10m_2020_2024.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/S2_B2_10m_2020_2024.tif","skipped","skipped_exists",""
"Elevation","10m","D:/FIA_NEFIN/data/covariates/fine_10m/Elevation10m.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/Elevation10m.tif","skipped","skipped_exists",""
"Slope","10m","D:/FIA_NEFIN/data/covariates/fine_10m/Slope10m.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/Slope10m.tif","skipped","skipped_exists",""
"Aspect","10m","D:/FIA_NEFIN/data/covariates/fine_10m/Aspect10m.tif","D:/FIA_NEFIN/data/covariates/fine_10m_preprocessed/Aspect10m.tif","bilinear","success",""
